时间,环号,推进状态,推进速度,总推力,刀盘扭矩,刀盘转速,土压01数值,土压02数值,土压03数值,土压04数值,土压05数值,土压06数值,螺旋机转速,螺旋机扭矩,前端里程,土压平均值,上土压,推进距离
2019-12-12 13:15:26,1040,4,0.0,0.0,0.0,0.0,2.0,2.0,2.2,2.3,2.3,2.4,0.0,0.0,33295.155,2.2,2.0,0.0
2019-12-12 13:15:36,1040,4,0.0,0.0,0.0,0.0,2.0,2.0,2.2,2.3,2.3,2.4,0.0,0.0,33295.155,2.2,2.0,0.0
2019-12-12 13:15:46,1040,4,0.0,0.0,0.0,0.0,2.0,2.0,2.2,2.3,2.3,2.4,0.0,0.0,33295.155,2.2,2.0,0.0
2019-12-12 13:15:56,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.3,2.4,0.0,0.0,33295.155,2.15,1.95,0.0
2019-12-12 13:16:06,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.3,2.4,0.0,0.0,33295.155,2.15,1.95,0.0
2019-12-12 13:16:16,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.3,2.4,0.0,0.0,33295.155,2.15,1.95,0.0
2019-12-12 13:16:26,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.3,2.4,0.0,0.0,33295.155,2.15,1.95,0.0
2019-12-12 13:16:36,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.3,2.4,0.0,0.0,33295.155,2.15,1.95,0.0
2019-12-12 13:16:46,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.3,2.4,0.0,0.0,33295.155,2.15,1.95,0.0
2019-12-12 13:16:56,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.3,2.4,0.0,0.0,33295.155,2.15,1.95,0.0
2019-12-12 13:17:06,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.4,0.0,0.0,33295.155,2.1333333333333333,1.95,0.0
2019-12-12 13:17:16,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.4,0.0,0.0,33295.155,2.1333333333333333,1.95,0.0
2019-12-12 13:17:26,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.3,0.0,0.0,33295.155,2.1166666666666667,1.95,0.0
2019-12-12 13:17:36,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.3,0.0,0.0,33295.155,2.1166666666666667,1.95,0.0
2019-12-12 13:17:46,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.3,0.0,0.0,33295.155,2.1166666666666667,1.95,0.0
2019-12-12 13:17:56,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.4,0.0,0.0,33295.155,2.1333333333333333,1.95,0.0
2019-12-12 13:18:06,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.4,0.0,0.0,33295.155,2.1333333333333333,1.95,0.0
2019-12-12 13:18:16,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.4,0.0,0.0,33295.155,2.1333333333333333,1.95,0.0
2019-12-12 13:18:26,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.3,0.0,0.0,33295.155,2.1166666666666667,1.95,0.0
2019-12-12 13:18:36,1040,4,0.0,0.0,0.0,0.0,1.9,2.0,2.1,2.2,2.2,2.3,0.0,0.0,33295.155,2.1166666666666667,1.95,0.0
